idf.kw,epw.id,energy.elec.GJ,energy.gas.GJ,prototype.m2,elec.GJ.per.m2,gas.GJ.per.m2,building.type,vintage,idf.name
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,62,1191.4238609253907,1195.3188940586367,511.15,2.3308693356654424,2.3384894728722228,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,63,1195.313168550042,1195.3140058327142,511.15,2.3384782716424573,2.338479909679574,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,63,1195.313168550042,1195.3140058327142,511.15,2.3384782716424573,2.338479909679574,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,64,1197.0195639380095,1195.3118442045109,511.15,2.341816617310006,2.33847568072877,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,64,1197.0195639380095,1195.3118442045109,511.15,2.341816617310006,2.33847568072877,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,65,1198.7272606579563,1195.3122608071014,511.15,2.345157508868153,2.338476495758782,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,65,1198.7272606579563,1195.3122608071014,511.15,2.345157508868153,2.338476495758782,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,66,1199.764137225137,1195.3113029225242,511.15,2.3471860260689366,2.3384746217793686,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,66,1199.764137225137,1195.3113029225242,511.15,2.3471860260689366,2.3384746217793686,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,76,1196.58972657555,1195.3140881290067,511.15,2.3409756951492713,2.338480070681809,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
